State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100
Alabama,AL,2020-01-20,4,2020,0,0,0,0,0
Alaska,AK,2020-01-20,4,2020,0,0,0,0,0
Arizona,AZ,2020-01-20,4,2020,0,0,0,0,0
Arkansas,AR,2020-01-20,4,2020,0,0,0,0,0
California,CA,2020-01-20,4,2020,0,0,0,0,0
Colorado,CO,2020-01-20,4,2020,0,0,0,0,0
Connecticut,CT,2020-01-20,4,2020,0,0,0,0,0
Delaware,DE,2020-01-20,4,2020,0,0,0,0,0
Florida,FL,2020-01-20,4,2020,0,0,0,0,0
Georgia,GA,2020-01-20,4,2020,0,0,0,0,0
Hawaii,HI,2020-01-20,4,2020,0,0,0,0,0
Idaho,ID,2020-01-20,4,2020,0,0,0,0,0
Indiana,IN,2020-01-20,4,2020,0,0,0,0,0
Iowa,IA,2020-01-20,4,2020,0,0,0,0,0
Kansas,KS,2020-01-20,4,2020,0,0,0,0,0
Kentucky,KY,2020-01-20,4,2020,0,0,0,0,0
Louisiana,LA,2020-01-20,4,2020,0,0,0,0,0
Maine,ME,2020-01-20,4,2020,0,0,0,0,0
Maryland,MD,2020-01-20,4,2020,0,0,0,0,0
Massachusetts,MA,2020-01-20,4,2020,0,0,0,0,0
Michigan,MI,2020-01-20,4,2020,0,0,0,0,0
Minnesota,MN,2020-01-20,4,2020,0,0,0,0,0
Mississippi,MS,2020-01-20,4,2020,0,0,0,0,0
Missouri,MO,2020-01-20,4,2020,0,0,0,0,0
Montana,MT,2020-01-20,4,2020,0,0,0,0,0
Nebraska,NE,2020-01-20,4,2020,0,0,0,0,0
Nevada,NV,2020-01-20,4,2020,0,0,0,0,0
New Hampshire,NH,2020-01-20,4,2020,0,0,0,0,0
New Jersey,NJ,2020-01-20,4,2020,0,0,0,0,0
New Mexico,NM,2020-01-20,4,2020,0,0,0,0,0
New York,NY,2020-01-20,4,2020,0,0,0,0,0
