State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
California,CA,29/03/2021,13,2021,18758,853,32.7,0.18758,0.00853,1
North Dakota,ND,29/03/2021,13,2021,1055,0,34.3,0.01055,0,1
Alaska,AK,29/03/2021,13,2021,1232,2,34.8,0.01232,0.00002,1
Wyoming,WY,29/03/2021,13,2021,401,5,27.9,0.00401,0.00005,1
Hawaii,HI,29/03/2021,13,2021,820,5,33,0.0082,0.00005,1
South Dakota,SD,29/03/2021,13,2021,1280,5,37,0.0128,0.00005,1
Nebraska,NE,29/03/2021,13,2021,2413,6,32.5,0.02413,0.00006,1
Vermont,VT,29/03/2021,13,2021,1262,8,36.4,0.01262,0.00008,1
Maine,ME,29/03/2021,13,2021,2271,9,36.9,0.02271,0.00009,1
Idaho,ID,29/03/2021,13,2021,1753,12,27.3,0.01753,0.00012,1
New Hampshire,NH,29/03/2021,13,2021,2703,12,40.1,0.02703,0.00012,1
Oregon,OR,29/03/2021,13,2021,2778,16,30.1,0.02778,0.00016,1
Delaware,DE,29/03/2021,13,2021,2351,21,33.5,0.02351,0.00021,1
Rhode Island,RI,29/03/2021,13,2021,2795,21,34.5,0.02795,0.00021,1
Mississippi,MS,29/03/2021,13,2021,1442,24,25.5,0.01442,0.00024,1
New Mexico,NM,29/03/2021,13,2021,1265,26,40.2,0.01265,0.00026,1
Montana,MT,29/03/2021,13,2021,940,29,32.4,0.0094,0.00029,1
Utah,UT,29/03/2021,13,2021,2824,31,28,0.02824,0.00031,1
Oklahoma,OK,29/03/2021,13,2021,1604,33,32.6,0.01604,0.00033,1
Colorado,CO,29/03/2021,13,2021,9380,35,31.9,0.0938,0.00035,1
Nevada,NV,29/03/2021,13,2021,1998,38,29.2,0.01998,0.00038,1
Connecticut,CT,29/03/2021,13,2021,8746,39,37.6,0.08746,0.00039,1
Kansas,KS,29/03/2021,13,2021,1440,41,32.9,0.0144,0.00041,1
Missouri,MO,29/03/2021,13,2021,3645,49,27.6,0.03645,0.00049,1
Minnesota,MN,29/03/2021,13,2021,12434,50,33.5,0.12434,0.0005,1
Arkansas,AR,29/03/2021,13,2021,1110,51,28.3,0.0111,0.00051,1
