Age Group Bins,Age group1,MMWR week1,MMWR week2 (copy),Month,Outcome,Vaccine product,Week,Age adjusted IRR,Age adjusted unvax IR,Age adjusted vax IR,Continuity correction,Crude IRR,Crude unvax IR,Crude unvax IR (copy),Crude vax IR,Crude vax IR (copy),F19,F20,Fully vaccinated population,Unvaccinated population,Unvaccinated with outcome,Unvax Rate,Vaccinated with outcome,Vax Rate,Week no
5-17,Dec-17,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,9.472805819,165.8636682,165.8636682,17.50945511,17.50945511,,12,28556,16540090,27434,165.863668215,5,17.509455106,14
18-49,18-29,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,9.025103171,226.8783422,226.8783422,25.1385871,25.1385871,,,2231629,29726945,67444,226.878342191,561,25.138587104,14
18-49,30-49,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,8.786276907,216.9543863,216.9543863,24.69241393,24.69241393,,,6313680,39700511,86132,216.954386305,1559,24.692413933,14
50-79,50-64,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,9.097722123,192.0924328,192.0924328,21.11434381,21.11434381,,,6119063,22761438,43723,192.092432824,1292,21.114343814,14
50-79,65-79,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,13.11362828,147.2273577,147.2273577,11.2270498,11.2270498,,,12585675,8475327,12478,147.227357717,1413,11.227049801,14
80+,80+,202114,2021-14,01/04/2004,case,all_types,2021-14,,,,0,6.949032635,108.5059463,108.5059463,15.61453975,15.61453975,,,4367724,2761139,2996,108.505946278,682,15.614539747,14
all_ages_adj,all_ages_adj,202114,2021-14,01/04/2004,case,all_types,2021-14,9.153663249,196.8683326,21.50705431,0,11.4959158,200.2301496,200.2301496,17.41750314,17.41750314,,,31646327,119965450,240207,200.230149597,5512,17.417503143,14
all_ages_adj,all_ages_adj,202114,2021-14,01/04/2004,case,Janssen,2021-14,4.35494515,196.8683326,45.20569739,0,3.999249731,200.2301496,200.2301496,50.06692831,50.06692831,,,1933412,119965450,240207,200.230149597,968,50.066928311,14
all_ages_adj,all_ages_adj,202114,2021-14,01/04/2004,case,Moderna,2021-14,10.30496985,196.8683326,19.10421237,0,18.40386225,200.2301496,200.2301496,10.87978963,10.87978963,,,13805414,119965450,240207,200.230149597,1502,10.879789625,14
all_ages_adj,all_ages_adj,202114,2021-14,01/04/2004,case,Pfizer,2021-14,8.8121255,196.8683326,22.34061834,0,10.45134506,200.2301496,200.2301496,19.15831393,19.15831393,,,15846906,119965450,240207,200.230149597,3036,19.158313932,14
5-17,Dec-17,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,18.05693127,167.6789903,167.6789903,9.286128845,9.286128845,,,43075,16283495,27304,167.678990290,4,9.286128845,15
18-49,18-29,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,9.953089737,224.6559985,224.6559985,22.57148328,22.57148328,,,2773411,27937380,62763,224.655998522,626,22.571483275,15
18-49,30-49,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,9.681068747,220.8402776,220.8402776,22.81155969,22.81155969,,,7724154,36827974,81331,220.840277556,1762,22.811559687,15
50-79,50-64,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,9.547175491,192.4411727,192.4411727,20.15686973,20.15686973,,,7912935,20888981,40199,192.441172693,1595,20.156869733,15
50-79,65-79,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,13.50580327,155.4253137,155.4253137,11.50803922,11.50803922,,,14442078,7946582,12351,155.425313676,1662,11.508039217,15
80+,80+,2021-15,2021-15,01/04/2004,case,all_types,2021-15,,,,0,6.484764677,106.8328006,106.8328006,16.47442983,16.47442983,,,4740680,2645255,2826,106.832800618,781,16.474429829,15
all_ages_adj,all_ages_adj,2021-15,2021-15,01/04/2004,case,all_types,2021-15,10.28025403,198.9782984,19.35538731,0,11.79566843,201.5237457,201.5237457,17.08455497,17.08455497,,,37636333,112529667,226774,201.523745734,6430,17.084554970,15
all_ages_adj,all_ages_adj,2021-15,2021-15,01/04/2004,case,Janssen,2021-15,3.923132138,198.9782984,50.71924456,0,4.223443001,201.5237457,201.5237457,47.71551213,47.71551213,,,2552629,112529667,226774,201.523745734,1218,47.715512125,15
all_ages_adj,all_ages_adj,2021-15,2021-15,01/04/2004,case,Moderna,2021-15,16.49346573,198.9782984,12.06406838,0,18.82534129,201.5237457,201.5237457,10.70491858,10.70491858,,,16170137,112529667,226774,201.523745734,1731,10.704918579,15
all_ages_adj,all_ages_adj,2021-15,2021-15,01/04/2004,case,Pfizer,2021-15,10.10724151,198.9782984,19.68670662,0,10.94011471,201.5237457,201.5237457,18.42062456,18.42062456,,,18848438,112529667,226774,201.523745734,3472,18.420624563,15
5-17,Dec-17,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,14.79087645,148.5667028,148.5667028,10.04448271,10.04448271,,,69690,16031183,23817,148.566702782,7,10.044482709,16
18-49,18-29,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,8.938806189,184.7107573,184.7107573,20.66391791,20.66391791,,,3629515,26589139,49113,184.710757276,750,20.663917906,16
18-49,30-49,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,9.090723892,192.9915299,192.9915299,21.22950078,21.22950078,,,9722320,34734685,67035,192.991529936,2064,21.229500778,16
