week_start,Years,SubmissionDate,State,State2,Week_Avg
2020-01-20,2020,22-Jan,AK,Alaska,0
2020-01-20,2020,22-Jan,AL,Alabama,0
2020-01-20,2020,22-Jan,AR,Arkansas,0
2020-01-20,2020,22-Jan,AZ,Arizona,0
2020-01-20,2020,22-Jan,CA,California,0
2020-01-20,2020,22-Jan,CO,Colorado,0
2020-01-20,2020,22-Jan,CT,Connecticut,0
2020-01-20,2020,22-Jan,DE,Delaware,0
2020-01-20,2020,22-Jan,FL,Florida,0
2020-01-20,2020,22-Jan,GA,Georgia,0
2020-01-20,2020,22-Jan,HI,Hawaii,0
2020-01-20,2020,22-Jan,IA,Iowa,0
2020-01-20,2020,22-Jan,ID,Idaho,0
2020-01-20,2020,22-Jan,IL,Illinois,0
2020-01-20,2020,22-Jan,IN,Indiana,0
2020-01-20,2020,22-Jan,KS,Kansas,0
2020-01-20,2020,22-Jan,KY,Kentucky,0
2020-01-20,2020,22-Jan,LA,Louisiana,0
2020-01-20,2020,22-Jan,MA,Massachusetts,0
2020-01-20,2020,22-Jan,MD,Maryland,0
2020-01-20,2020,22-Jan,ME,Maine,0
2020-01-20,2020,22-Jan,MI,Michigan,0
2020-01-20,2020,22-Jan,MN,Minnesota,0
2020-01-20,2020,22-Jan,MO,Missouri,0
2020-01-20,2020,22-Jan,MS,Mississippi,0
2020-01-20,2020,22-Jan,MT,Montana,0
2020-01-20,2020,22-Jan,NC,North Carolina,0
2020-01-20,2020,22-Jan,ND,North Dakota,0
2020-01-20,2020,22-Jan,NE,Nebraska,0
2020-01-20,2020,22-Jan,NH,New Hampshire,0
2020-01-20,2020,22-Jan,NJ,New Jersey,0
2020-01-20,2020,22-Jan,NM,New Mexico,0
2020-01-20,2020,22-Jan,NV,Nevada,0
2020-01-20,2020,22-Jan,NY,New York,0
2020-01-20,2020,22-Jan,OH,Ohio,0
2020-01-20,2020,22-Jan,OK,Oklahoma,0
2020-01-20,2020,22-Jan,OR,Oregon,0
2020-01-20,2020,22-Jan,PA,Pennsylvania,0
2020-01-20,2020,22-Jan,RI,Rhode Island,0
2020-01-20,2020,22-Jan,SC,South Carolina,0
2020-01-20,2020,22-Jan,SD,South Dakota,0
2020-01-20,2020,22-Jan,State,State2,0
2020-01-20,2020,22-Jan,TN,Tennessee,0
2020-01-20,2020,22-Jan,TX,Texas,0
2020-01-20,2020,22-Jan,UT,Utah,0
2020-01-20,2020,22-Jan,VA,Virginia,0
2020-01-20,2020,22-Jan,VT,Vermont,0
2020-01-20,2020,22-Jan,WA,Washington,0
2020-01-20,2020,22-Jan,WI,Wisconsin,0
2020-01-20,2020,22-Jan,WV,West Virginia,0
2020-01-20,2020,22-Jan,WY,Wyoming,0
2020-01-20,2020,23-Jan,AK,Alaska,0
2020-01-20,2020,23-Jan,AL,Alabama,0
2020-01-20,2020,23-Jan,AR,Arkansas,0
2020-01-20,2020,23-Jan,AZ,Arizona,0
2020-01-20,2020,23-Jan,CA,California,0
2020-01-20,2020,23-Jan,CO,Colorado,0
2020-01-20,2020,23-Jan,CT,Connecticut,0
2020-01-20,2020,23-Jan,DE,Delaware,0
2020-01-20,2020,23-Jan,FL,Florida,0
2020-01-20,2020,23-Jan,GA,Georgia,0
2020-01-20,2020,23-Jan,HI,Hawaii,0
2020-01-20,2020,23-Jan,IA,Iowa,0
2020-01-20,2020,23-Jan,ID,Idaho,0
2020-01-20,2020,23-Jan,IL,Illinois,0
2020-01-20,2020,23-Jan,IN,Indiana,0
2020-01-20,2020,23-Jan,KS,Kansas,0
2020-01-20,2020,23-Jan,KY,Kentucky,0
2020-01-20,2020,23-Jan,LA,Louisiana,0
2020-01-20,2020,23-Jan,MA,Massachusetts,0
2020-01-20,2020,23-Jan,MD,Maryland,0
2020-01-20,2020,23-Jan,ME,Maine,0
2020-01-20,2020,23-Jan,MI,Michigan,0
2020-01-20,2020,23-Jan,MN,Minnesota,0
2020-01-20,2020,23-Jan,MO,Missouri,0
2020-01-20,2020,23-Jan,MS,Mississippi,0
2020-01-20,2020,23-Jan,MT,Montana,0
2020-01-20,2020,23-Jan,NC,North Carolina,0
2020-01-20,2020,23-Jan,ND,North Dakota,0
2020-01-20,2020,23-Jan,NE,Nebraska,0
2020-01-20,2020,23-Jan,NH,New Hampshire,0
2020-01-20,2020,23-Jan,NJ,New Jersey,0
2020-01-20,2020,23-Jan,NM,New Mexico,0
2020-01-20,2020,23-Jan,NV,Nevada,0
2020-01-20,2020,23-Jan,NY,New York,0
2020-01-20,2020,23-Jan,OH,Ohio,0
2020-01-20,2020,23-Jan,OK,Oklahoma,0
2020-01-20,2020,23-Jan,OR,Oregon,0
2020-01-20,2020,23-Jan,PA,Pennsylvania,0
2020-01-20,2020,23-Jan,RI,Rhode Island,0
2020-01-20,2020,23-Jan,SC,South Carolina,0
2020-01-20,2020,23-Jan,SD,South Dakota,0
2020-01-20,2020,23-Jan,State,State2,0
2020-01-20,2020,23-Jan,TN,Tennessee,0
2020-01-20,2020,23-Jan,TX,Texas,0
2020-01-20,2020,23-Jan,UT,Utah,0
2020-01-20,2020,23-Jan,VA,Virginia,0
2020-01-20,2020,23-Jan,VT,Vermont,0
2020-01-20,2020,23-Jan,WA,Washington,0.142857143
2020-01-20,2020,23-Jan,WI,Wisconsin,0
2020-01-20,2020,23-Jan,WV,West Virginia,0
2020-01-20,2020,23-Jan,WY,Wyoming,0
2020-01-20,2020,24-Jan,AK,Alaska,0
2020-01-20,2020,24-Jan,AL,Alabama,0
2020-01-20,2020,24-Jan,AR,Arkansas,0
2020-01-20,2020,24-Jan,AZ,Arizona,0
2020-01-20,2020,24-Jan,CA,California,0
2020-01-20,2020,24-Jan,CO,Colorado,0
2020-01-20,2020,24-Jan,CT,Connecticut,0
2020-01-20,2020,24-Jan,DE,Delaware,0
2020-01-20,2020,24-Jan,FL,Florida,0
2020-01-20,2020,24-Jan,GA,Georgia,0
