State,State2,SubmissionDate,NewCasesAdj,SevenDayAvgAdj
AL,Alabama,2020-01-22,0,0
AL,Alabama,2020-01-23,0,0
AL,Alabama,2020-01-24,0,0
AL,Alabama,2020-01-25,0,0
AL,Alabama,2020-01-26,0,0
AL,Alabama,2020-01-27,0,0
AL,Alabama,2020-01-28,0,0
AL,Alabama,2020-01-29,0,0
AL,Alabama,2020-01-30,0,0
AL,Alabama,2020-01-31,0,0
AL,Alabama,2020-02-01,0,0
AL,Alabama,2020-02-02,0,0
AL,Alabama,2020-02-03,0,0
AL,Alabama,2020-02-04,0,0
AL,Alabama,2020-02-05,0,0
AL,Alabama,2020-02-06,0,0
AL,Alabama,2020-02-07,0,0
AL,Alabama,2020-02-08,0,0
AL,Alabama,2020-02-09,0,0
AL,Alabama,2020-02-10,0,0
AL,Alabama,2020-02-11,0,0
AL,Alabama,2020-02-12,0,0
AL,Alabama,2020-02-13,0,0
AL,Alabama,2020-02-14,0,0
AL,Alabama,2020-02-15,0,0
AL,Alabama,2020-02-16,0,0
AL,Alabama,2020-02-17,0,0
AL,Alabama,2020-02-18,0,0
AL,Alabama,2020-02-19,0,0
AL,Alabama,2020-02-20,0,0
AL,Alabama,2020-02-21,0,0
AL,Alabama,2020-02-22,0,0
AL,Alabama,2020-02-23,0,0
AL,Alabama,2020-02-24,0,0
AL,Alabama,2020-02-25,0,0
AL,Alabama,2020-02-26,0,0
AL,Alabama,2020-02-27,0,0
AL,Alabama,2020-02-28,0,0
AL,Alabama,2020-02-29,0,0
AL,Alabama,2020-03-01,0,0
AL,Alabama,2020-03-02,0,0
AL,Alabama,2020-03-03,0,0
AL,Alabama,2020-03-04,0,0
AL,Alabama,2020-03-05,0,0
AL,Alabama,2020-03-06,0,0
AL,Alabama,2020-03-07,0,0
AL,Alabama,2020-03-08,0,0
AL,Alabama,2020-03-09,0,0
AL,Alabama,2020-03-10,0,0
AL,Alabama,2020-03-11,3,0
AL,Alabama,2020-03-12,1,0
AL,Alabama,2020-03-13,4,0
AL,Alabama,2020-03-14,7,0
AL,Alabama,2020-03-15,13,0
AL,Alabama,2020-03-16,8,0
AL,Alabama,2020-03-17,15,7.29
AL,Alabama,2020-03-18,10,8.29
AL,Alabama,2020-03-19,27,12
AL,Alabama,2020-03-20,27,15.29
AL,Alabama,2020-03-21,34,19.14
AL,Alabama,2020-03-22,31,21.71
AL,Alabama,2020-03-23,44,26.86
AL,Alabama,2020-03-24,70,34.71
AL,Alabama,2020-03-25,173,58
AL,Alabama,2020-03-26,102,68.71
AL,Alabama,2020-03-27,108,80.29
AL,Alabama,2020-03-28,117,92.14
AL,Alabama,2020-03-29,79,99
AL,Alabama,2020-03-30,121,110
AL,Alabama,2020-03-31,62,108.86
AL,Alabama,2020-04-01,112,100.14
AL,Alabama,2020-04-02,196,113.57
AL,Alabama,2020-04-03,235,131.71
AL,Alabama,2020-04-04,121,132.29
AL,Alabama,2020-04-05,177,146.29
AL,Alabama,2020-04-06,173,153.71
AL,Alabama,2020-04-07,229,177.57
AL,Alabama,2020-04-08,306,205.29
AL,Alabama,2020-04-09,340,225.86
AL,Alabama,2020-04-10,158,214.86
AL,Alabama,2020-04-11,233,230.86
AL,Alabama,2020-04-12,321,251.43
AL,Alabama,2020-04-13,202,255.57
AL,Alabama,2020-04-14,171,247.29
AL,Alabama,2020-04-15,264,241.29
AL,Alabama,2020-04-16,157,215.14
AL,Alabama,2020-04-17,92,205.71
AL,Alabama,2020-04-18,230,205.29
AL,Alabama,2020-04-19,190,186.57
AL,Alabama,2020-04-20,184,184
AL,Alabama,2020-04-21,241,194
AL,Alabama,2020-04-22,289,197.57
AL,Alabama,2020-04-23,206,204.57
AL,Alabama,2020-04-24,192,218.86
AL,Alabama,2020-04-25,182,212
AL,Alabama,2020-04-26,201,213.57
AL,Alabama,2020-04-27,146,208.14
AL,Alabama,2020-04-28,199,202.14
AL,Alabama,2020-04-29,159,183.57
AL,Alabama,2020-04-30,207,183.71
AL,Alabama,2020-05-01,254,192.57
AL,Alabama,2020-05-02,260,203.71
AL,Alabama,2020-05-03,278,214.71
AL,Alabama,2020-05-04,225,226
AL,Alabama,2020-05-05,317,242.86
AL,Alabama,2020-05-06,248,255.57
AL,Alabama,2020-05-07,344,275.14
AL,Alabama,2020-05-08,321,284.71
AL,Alabama,2020-05-09,283,288
AL,Alabama,2020-05-10,260,285.43
AL,Alabama,2020-05-11,280,293.29
AL,Alabama,2020-05-12,305,291.57
AL,Alabama,2020-05-13,256,292.71
AL,Alabama,2020-05-14,339,292
AL,Alabama,2020-05-15,332,293.57
AL,Alabama,2020-05-16,334,300.86
AL,Alabama,2020-05-17,310,308
AL,Alabama,2020-05-18,299,310.71
AL,Alabama,2020-05-19,386,322.29
AL,Alabama,2020-05-20,359,337
AL,Alabama,2020-05-21,404,346.29
AL,Alabama,2020-05-22,364,350.86
AL,Alabama,2020-05-23,374,356.57
AL,Alabama,2020-05-24,351,362.43
AL,Alabama,2020-05-25,633,410.14
AL,Alabama,2020-05-26,588,439
AL,Alabama,2020-05-27,363,439.57
AL,Alabama,2020-05-28,485,451.14
AL,Alabama,2020-05-29,513,472.43
AL,Alabama,2020-05-30,427,480
AL,Alabama,2020-05-31,513,503.14
AL,Alabama,2020-06-01,324,459
AL,Alabama,2020-06-02,209,404.86
AL,Alabama,2020-06-03,220,384.43
AL,Alabama,2020-06-04,308,359.14
AL,Alabama,2020-06-05,648,378.43
AL,Alabama,2020-06-06,444,380.86
AL,Alabama,2020-06-07,420,367.57
AL,Alabama,2020-06-08,490,391.29
AL,Alabama,2020-06-09,567,442.43
AL,Alabama,2020-06-10,824,528.71
AL,Alabama,2020-06-11,709,586
AL,Alabama,2020-06-12,1033,641
AL,Alabama,2020-06-13,959,714.57
AL,Alabama,2020-06-14,820,771.71
AL,Alabama,2020-06-15,302,744.86
AL,Alabama,2020-06-16,548,742.14
AL,Alabama,2020-06-17,904,753.57
AL,Alabama,2020-06-18,733,757
AL,Alabama,2020-06-19,547,687.57
AL,Alabama,2020-06-20,458,616
AL,Alabama,2020-06-21,438,561.43
AL,Alabama,2020-06-22,649,611
AL,Alabama,2020-06-23,1121,692.86
AL,Alabama,2020-06-24,987,704.71
AL,Alabama,2020-06-25,998,742.57
AL,Alabama,2020-06-26,1022,810.43
AL,Alabama,2020-06-27,179,770.57
AL,Alabama,2020-06-28,1419,910.71
AL,Alabama,2020-06-29,1083,972.71
AL,Alabama,2020-06-30,885,939
AL,Alabama,2020-07-01,1166,964.57
AL,Alabama,2020-07-02,1692,1063.71
AL,Alabama,2020-07-03,912,1048
AL,Alabama,2020-07-04,958,1159.29
AL,Alabama,2020-07-05,801,1071
AL,Alabama,2020-07-06,903,1045.29
AL,Alabama,2020-07-07,1398,1118.57
AL,Alabama,2020-07-08,1786,1207.14
AL,Alabama,2020-07-09,1524,1183.14
AL,Alabama,2020-07-10,1633,1286.14
AL,Alabama,2020-07-11,1465,1358.57
AL,Alabama,2020-07-12,1972,1525.86
AL,Alabama,2020-07-13,1394,1596
AL,Alabama,2020-07-14,2101,1696.43
AL,Alabama,2020-07-15,1916,1715
AL,Alabama,2020-07-16,1930,1773
AL,Alabama,2020-07-17,2020,1828.29
AL,Alabama,2020-07-18,2025,1908.29
