PROLIFIC_ID,Trust Tags - Consensus,Valence consensus
563e5abecbd4c60005dc9153,,Negative
612e75305c548dd77bca9d73,,Positive
5ba2877a7590cc0001b50d0f,,Neutral
64029de99a8a72fc5a205b7e,,Neutral
63e54336ed7afb1425f7888f,,Neutral
60fb66677fec313644c22612,,Neutral
630345dd92f26599c777a5fc,,
5f5a0f0a612008057e58d281,,Neutral
5f9e612e5e10814115cc780d,,Neutral
63d87654c14b742db0fba872,,Negative
562563ceed6e5a000bc7f386,,
62b755ac8d4ceeb1a463c05a,,Neutral
5fb9de27e62120924c5b2176,,Positive
614f297f566989948fc108ad,,Neutral
62951acd624dba0f4429d988,,Neutral
5ec9fc1650b79c158be48421,,Neutral
5d649652adc4e8001a2d258d,,Neutral
5fc4c48946722649740111be,,Neutral
5eebe4e6e61002183aec9b70,,Neutral
5f8486766d8e7b0f17df0206,,Neutral
6070defd464139156ac85ac3,,Positive
63d15bdba3ed809e5df7bd5b,,Neutral
580e8bdbf25c44000167943b,Cognitive Trust,Positive
5cb7d17ddd3aff0017d13821,Cognitive Trust,Positive
5e8d44819163b611f62d706c,Cognitive Trust,Neutral
61363ce02e6022a741d63a6e,"Cognitive Trust,Individual Characteristics",Neutral
5ec4a0fffe991f37f61b356e,Cognitive Trust - Data,Positive
62ed458d61ebd1930833e95a,Cognitive Trust - Vis,Positive
5d5464629b7c4e000188782d,"Cognitive Trust - Vis,Aff: data-cues",Neutral
6362ed6cd9d25c2306e67e41,Cog: data-accuracy,Positive
559c192bfdf99b218a61f57f,Cog: data-accuracy,Positive
574ce0a57fd0ec000db73aa6,Cog: data-accuracy,Positive
5e455faf462e0802d9d9c3e2,Cog: data-accuracy,Positive
5fdeb821bbdf7f6a1815d08f,Cog: data-accuracy,Negative
63c6e885e6834fbb0d9c0ebf,Cog: data-accuracy,Neutral
5c2ab2de9136140001b90737,Cog: data-accuracy,Positive
6365a371d807016cebfdb16c,Cog: data-accuracy,Neutral
60e4c09a4b30f16f5a1053e7,Cog: data-accuracy,Negative
5d1bf643f18c6c00187def44,Cog: data-accuracy,Positive
5e5ae01d75f13d2efe7db45e,Cog: data-accuracy,Positive
5dd9e1e0a4aa2696d9a15c0d,Cog: data-accuracy,Positive
58e558cc728bea0001bbda24,Cog: data-accuracy,Negative
62e47e029b91347575df3047,Cog: data-accuracy,Positive
62d38f10654f3fc8a393b551,Cog: data-accuracy,Positive
5cbe00898f939c0017c0b9d8,Cog: data-accuracy,Positive
62fcf3d9948e4a6a9623cce8,Cog: data-accuracy,Positive
639e0331bc3cc615f5a3dd89,Cog: data-accuracy,Positive
5f4a187b40b01f589fe766eb,Cog: data-accuracy,Positive
6171da4573cf08b98b35ed1a,Cog: data-accuracy,Neutral
6394e83b4be197877056c3bd,Cog: data-accuracy,Negative
