StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Consent Form,consent-time_Page Submit,covid-vaccine,covid-vaccine-doses,covid-infection,covid-time_Page Submit,intro-vis-time_Page Submit,affect-science_1,affect-clarity_1,affect-aesthetic_1,initial-time_Page Submit,tour-time_Page Submit,simple-vlat-1,simple-vlat-2,simple-vlat-time_Page Submit,moderate-vlat-1,moderate-vlat-2,moderate-vlat-time_Page Submit,complex-vlat-1,complex-vlat-time_Page Submit,explore-time_Page Submit,data-trust_1,data-trust_2,data-trust_3,data-trust_4,data-trust_5,data-trust_6,data-trust-exp,data-trust-time_Page Submit,vis-trust_1,vis-trust_2,vis-trust_3,vis-trust_4,vis-trust_5,vis-trust_6,vis-trust-exp,vis-trust-time_Page Submit,interpersonal-trust_1,interper-trust-exp,interper-trust-time_Page Submit,attention-check_1,attention-check_2,attention-check_3,attention-check_4,attention-check_5,attention-check_6,attention-check_7,attention-check-time_Page Submit,trust-in-science_1,trust-in-science_2,trust-in-science_3,trust-in-science_4,trust-in-science_5,trust-in-science_6,trust-in-science_7,trust-in-science_8,trust-science-exp,trust-science-time_Page Submit,cognition_1,cognition_2,cognition_3,cognition_4,cognition_5,cognition_6,need-cognition-time_Page Submit,political_views,covid_information,politics_time_Page Submit,Gender,Age,State_1,Education,Parents_education,Language,Language_4_TEXT,Ethnicity,Ethnicity_8_TEXT,Ethnicity_9_TEXT,Income,Religion,Interview,demographics_time_Page Submit,PROLIFIC_PID,provenance-data,provenance-vis,provenance-tour,provenance-explore,isCovidData,complexity,chartType,need_for_cognition,brushed,explore_interactions,hover_interactions,total_hover_time,avg_hover_time,explore_time,explore_active_time,vlat_simple,vlat_moderate,vlat_complex,assigned_vlat,ordinal_complexity
2023-07-24 14:11:19,2023-07-24 14:22:11,0,100,651,1,2023-07-24 14:22:11,R_1Kd8nCnLse6A3Bk,47.2109,-122.4147,EN,1,6.8870000000000005,1,3.0,2,6.992000000000001,15.012,93,96,50,21.333000000000002,61.583999999999996,1,-3,120.50200000000001,-3,1,95.38799999999999,1,52.236999999999995,15.122,4,4,4,6,6,5,,26.165,4,6,6,6,4,6,The data is clearly presented.,30.068,3,"Nothing, thanks",13.312999999999999,2,7,3,4,1,5,6,23.642,1,3,1,3,3,1,7,5,,17.807000000000002,3,5,4,3,3,3,18.037,1,1,9.682,4,1973,Washington,9,1,1,,7,,,12,4,2,70.262,60fcf0d2f2038f65598d7f03,"{""startTime"":1690222596809,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690222538739,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690222339403,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[{""time"":12,""label"":""tour_started""},{""time"":10505,""label"":""tour_next"",""step"":2},{""time"":17637,""label"":""tour_end"",""step"":2},{""time"":18682,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1116,""week"":""51"",""id"":""chart2""},{""time"":23817,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1029,""week"":""48"",""id"":""chart2""}]}","{""startTime"":1690222523140,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[{""time"":7720,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1317,""week"":""1"",""id"":""chart2""},{""time"":9187,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1145,""week"":""52"",""id"":""chart2""},{""time"":10385,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2315,""week"":""51"",""id"":""chart2""}]}",1,simple,bar,3.5,0,3,3,4.777,1.5923333333333334,2665,15.0,0.5,0.5,1,0.5,1
2023-07-24 14:13:16,2023-07-24 14:23:13,0,100,596,1,2023-07-24 14:23:14,R_8DmanZuAHqkskKJ,39.1215,-86.5784,EN,1,2.802,1,2.0,1,5.169,15.110999999999999,77,78,50,20.38,54.799,1,1,45.225,-3,1,78.877,-1,98.65700000000001,15.011,4,4,4,5,5,4,,29.000999999999998,4,5,3,6,3,4,I don't have any reason to believe or not believe the visualization,70.384,1,,8.037,2,7,3,4,1,5,6,17.935,6,6,7,8,6,6,8,9,,25.765,2,2,3,3,2,3,23.603,1,2,8.18,2,2000,Indiana,6,3,1,,2,,,17,4,2,33.543,62e3fc91bf734f6dbbc0ca15,"{""startTime"":1690222716596,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690222622537,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690222452628,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":13,""label"":""tour_started""},{""time"":12618,""label"":""tour_next"",""step"":5},{""time"":22124,""label"":""started_brush"",""startDate"":""2021-06-08"",""endDate"":""2021-10-15""},{""time"":26459,""label"":""moved_brush"",""startDate"":""2021-06-08"",""endDate"":""2021-10-26""},{""time"":30599,""label"":""moved_brush"",""startDate"":""2021-10-26"",""endDate"":""2022-02-12""},{""time"":31636,""label"":""tour_next"",""step"":5},{""time"":34507,""label"":""moved_brush"",""startDate"":""2021-11-28"",""endDate"":""2022-02-12""},{""time"":35340,""label"":""tour_next"",""step"":5},{""time"":45646,""label"":""cleared_brush"",""using"":""click""},{""time"":45649,""label"":""cleared_brush"",""using"":""Escape""},{""time"":47087,""label"":""tour_next"",""step"":5},{""time"":51148,""label"":""tour_end"",""step"":5}]}","{""startTime"":1690222606803,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":9984,""label"":""hovered"",""timeHovered"":2293,""week"":""2022-01-03""}]}",1,complex,line,2.5,0,1,1,2.293,2.293,0,15.0,1.0,0.5,0,0.0,3
2023-07-24 14:23:56,2023-07-24 14:31:23,0,100,447,1,2023-07-24 14:31:24,R_3eaAS3a0kDQnihF,38.894,-77.0365,EN,1,5.004,1,4.0,1,4.968,15.12,88,86,43,10.369000000000002,14.827,1,-3,59.77,1,1,33.711,-3,17.854,15.122,6,4,6,6,6,6,,23.938000000000002,7,7,3,2,2,6,It seems accurate based on data that I know of,68.273,4,,10.041,2,7,3,4,1,5,6,15.573,5,5,4,6,7,6,10,10,,17.07,5,4,4,2,4,4,21.23,1,1,8.385,1,2000,Virginia,6,3,1,,7,,,15,4,2,66.226,62ffa51597bb1507ef057ca0,"{""startTime"":1690223261203,""visType"":""line chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690223172815,""visType"":""line chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690223081678,""visType"":""line chart"",""complexity"":""simple"",""provenance"":[{""time"":5,""label"":""tour_started""},{""time"":2181,""label"":""tour_next"",""step"":2},{""time"":7788,""label"":""tour_end"",""step"":2}]}","{""startTime"":1690223157237,""visType"":""line chart"",""complexity"":""simple"",""provenance"":[{""time"":3050,""label"":""hovered"",""timeHovered"":1720,""week"":""2022-01-03""},{""time"":6301,""label"":""hovered"",""timeHovered"":1715,""week"":""2022-01-31""}]}",1,simple,line,3.8,0,2,2,3.435,1.7175,3251,15.0,0.5,1.0,0,0.5,1
2023-07-24 14:25:53,2023-07-24 14:32:20,0,100,387,1,2023-07-24 14:32:21,R_2QrlduyBPVQHSP6,40.1101,-75.1567,EN,1,6.12,1,3.0,1,4.592,15.01,87,80,41,10.927,14.280999999999999,1,1,38.847,-3,-3,49.415,1,18.070999999999998,15.011,4,4,4,6,5,5,,17.625999999999998,6,5,3,6,2,6,It includes a lot of data so it seems that effort and time were put into making this visualization.,36.77,5,,7.876,2,7,3,4,1,5,6,17.385,2,4,1,3,7,3,6,5,,23.324,3,5,4,2,4,5,24.96,2,3,8.302,1,1999,Pennsylvania,6,3,1,,7,,,17,3,2,40.366,61119e3139b8346b3ef32bf0,"{""startTime"":1690223336661,""visType"":""bar chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223279140,""visType"":""bar chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223198983,""visType"":""bar chart"",""complexity"":""moderate"",""provenance"":[{""time"":14,""label"":""tour_started""},{""time"":7987,""label"":""tour_next"",""step"":2},{""time"":10103,""label"":""tour_end"",""step"":2}]}","{""startTime"":1690223263700,""visType"":""bar chart"",""complexity"":""moderate"",""provenance"":[{""time"":3100,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2957,""week"":""52"",""id"":""chart""},{""time"":6177,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2199,""week"":""2"",""id"":""chart""},{""time"":8482,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2377,""week"":""4"",""id"":""chart""}]}",1,moderate,bar,3.8,0,3,3,7.5329999999999995,2.511,5382,15.0,1.0,0.0,1,0.0,2
2023-07-24 14:25:23,2023-07-24 14:34:59,0,100,575,1,2023-07-24 14:35:00,R_3F3TYMu0glGO2Yu,34.7542,-76.9069,EN,1,19.999000000000002,2,,1,2.83,15.017000000000001,100,100,100,13.362,44.08,1,-3,38.308,-3,1,60.855,-3,32.436,15.117,6,5,6,7,6,6,,24.031,5,7,6,5,4,6,It shows basic facts. Presuming the numbers are correct then why would I not trust something that is factual?,51.401,4,,6.191,2,7,3,4,1,5,6,19.94,4,4,10,6,4,2,7,10,,30.953000000000003,4,4,4,2,4,4,29.759,5,2,9.82,2,1982,North Carolina,2,2,1,,7,,,4,3,2,114.589,582c800ab56bfd00011fd586,"{""startTime"":1690223308477,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223332902,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223187301,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[{""time"":6,""label"":""tour_started""},{""time"":17812,""label"":""hovered"",""timeHovered"":3783,""week"":""2022-01-10""},{""time"":22529,""label"":""hovered"",""timeHovered"":1400,""week"":""2022-02-07""},{""time"":26177,""label"":""tour_next"",""step"":2},{""time"":30969,""label"":""tour_end"",""step"":2}]}","{""startTime"":1690223292957,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[{""time"":5480,""label"":""hovered"",""timeHovered"":1281,""week"":""2022-01-03""},{""time"":6980,""label"":""hovered"",""timeHovered"":1325,""week"":""2022-01-10""},{""time"":12562,""label"":""hovered"",""timeHovered"":1952,""week"":""2022-01-17""}]}",1,moderate,line,3.7,0,3,3,4.558,1.5193333333333332,7082,15.0,0.5,0.5,0,0.5,2
2023-07-24 14:26:03,2023-07-24 14:36:58,0,100,654,1,2023-07-24 14:36:59,R_ZgGa1Hpx8Fxszux,39.2726,-76.8614,EN,1,11.536,1,3.0,1,13.769,15.106,78,57,47,11.380999999999998,103.137,1,-3,81.726,1,1,93.02600000000001,1,52.0,15.009,6,6,2,5,6,6,,15.255,6,5,5,6,6,6,I think it shows that more vaccinated people will have a less chance of getting COVID,61.13399999999999,4,,17.797,2,7,3,4,1,5,6,19.985,4,5,7,5,8,5,10,9,,25.279,3,4,3,4,3,3,7.627999999999999,4,2,13.937000000000001,1,1999,Maryland,6,3,1,,9,,Ellicott City,17,4,1,59.163999999999994,6430988b02068d99450ad3d7,"{""startTime"":1690223400570,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""label"":""window_blurred"",""time"":540},{""label"":""window_focused"",""time"":1566}]}","{""startTime"":1690223416544,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690223228262,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":9,""label"":""tour_started""},{""time"":2901,""label"":""hovered"",""timeHovered"":1650,""week"":""2022-01-10""},{""time"":10436,""label"":""hovered"",""timeHovered"":1751,""week"":""2022-01-17""},{""time"":13719,""label"":""hovered"",""timeHovered"":2284,""week"":""2022-01-10""},{""time"":19161,""label"":""hovered"",""timeHovered"":4830,""week"":""2022-01-17""},{""time"":26187,""label"":""tour_next"",""step"":5},{""time"":35567,""label"":""cleared_brush"",""using"":""click""},{""time"":36317,""label"":""cleared_brush"",""using"":""click""},{""time"":36988,""label"":""cleared_brush"",""using"":""click""},{""time"":37498,""label"":""cleared_brush"",""using"":""click""},{""time"":47633,""label"":""tour_back"",""step"":5},{""time"":50162,""label"":""tour_next"",""step"":5},{""time"":51652,""label"":""cleared_brush"",""using"":""click""},{""time"":62220,""label"":""started_brush"",""startDate"":""2021-06-09"",""endDate"":""2022-02-13""},{""time"":63923,""label"":""tour_next"",""step"":5},{""time"":69617,""label"":""moved_brush"",""startDate"":""2021-06-09"",""endDate"":""2022-02-13""},{""time"":70440,""label"":""cleared_brush"",""using"":""click""},{""time"":75124,""label"":""tour_next"",""step"":5},{""time"":92226,""label"":""cleared_brush"",""using"":""click""},{""time"":92228,""label"":""cleared_brush"",""using"":""Escape""},{""time"":95089,""label"":""tour_next"",""step"":5},{""time"":99612,""label"":""tour_end"",""step"":5}]}","{""startTime"":1690223384879,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":8019,""label"":""started_brush"",""startDate"":""2021-11-15"",""endDate"":""2022-02-13""}]}",1,complex,line,3.3,1,1,0,0.0,0.0,0,15.0,0.5,1.0,1,1.0,3
2023-07-24 14:26:07,2023-07-24 14:37:27,0,100,680,1,2023-07-24 14:37:28,R_2qw67BSEax40tQM,35.7704,-78.6293,EN,1,24.274,1,2.0,2,22.244,15.008,60,97,61,27.840999999999998,38.155,1,1,67.598,-3,-3,81.77,1,36.326,15.109000000000002,6,6,5,7,7,5,,27.044,6,7,6,4,5,5,I trust the visualization is as accurate as reports allow.  People were sick and never received treatment. Many people were sick and it was immediately presumed they had covid without accurate testing,79.03699999999999,6,,14.549000000000001,2,7,3,4,1,5,6,21.201,1,4,8,5,1,6,9,9,,31.605,2,3,3,3,4,3,38.09,5,4,15.529000000000002,2,1979,North Carolina,5,2,1,,7,,,8,3,1,70.65100000000001,5ef764fd0ea7fe48a5fa130d,"{""startTime"":1690223393159,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690223420753,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[]}","{""startTime"":1690223270813,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[{""time"":10,""label"":""tour_started""},{""time"":9038,""label"":""tour_next"",""step"":2},{""time"":13134,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2459,""week"":""50"",""id"":""chart2""},{""time"":15649,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1459,""week"":""51"",""id"":""chart2""},{""time"":19636,""label"":""tour_end"",""step"":2},{""time"":22145,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2561,""week"":""52"",""id"":""chart""},{""time"":26495,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2314,""week"":""52"",""id"":""chart2""},{""time"":29311,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":2061,""week"":""51"",""id"":""chart""},{""time"":31491,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":3991,""week"":""52"",""id"":""chart""}]}","{""startTime"":1690223377617,""visType"":""bar chart"",""complexity"":""simple"",""provenance"":[{""time"":10518,""label"":""hovered"",""isBrokenDownByAge"":false,""timeHovered"":1261,""week"":""52"",""id"":""chart""}]}",1,simple,bar,3.0,0,1,1,1.261,1.261,0,15.0,1.0,0.0,1,1.0,1
2023-07-24 14:28:30,2023-07-24 14:41:43,0,100,792,1,2023-07-24 14:41:43,R_rqmwyenp9jfHYDD,32.7097,-117.1228,EN,1,29.401,1,4.0,2,10.449000000000002,15.015,68,62,67,35.96,85.54799999999999,-2,1,81.9,1,1,99.238,1,191.981,15.184000000000001,5,4,5,4,4,5,,16.595,4,4,5,3,3,5,I don't like to rely on a single source of information if I haven't verified it but it seems ok.,43.931000000000004,4,,11.177999999999999,2,7,3,4,1,5,6,14.731,4,6,6,6,4,4,8,9,,20.275,3,2,3,3,4,3,14.905,3,1,14.695,1,1980,California,6,2,1,,2,,,4,3,2,48.464,585eb4cfc34844000174d807,"{""startTime"":1690223708924,""visType"":""bar chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690223726508,""visType"":""bar chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690223413950,""visType"":""bar chart"",""complexity"":""complex"",""provenance"":[{""time"":42,""label"":""tour_started""},{""time"":12828,""label"":""tour_next"",""step"":5},{""time"":24344,""label"":""tour_back"",""step"":5},{""time"":26838,""label"":""tour_next"",""step"":5},{""time"":29877,""label"":""tour_back"",""step"":5},{""time"":31802,""label"":""tour_next"",""step"":5},{""time"":34336,""label"":""cleared_brush"",""using"":""Click""},{""time"":35021,""label"":""cleared_brush"",""using"":""Click""},{""time"":35532,""label"":""started_brush"",""startDate"":""2021-09-08"",""endDate"":""2021-09-21""},{""time"":40590,""label"":""tour_next"",""step"":5},{""time"":47181,""label"":""moved_brush"",""startDate"":""2021-04-12"",""endDate"":""2021-09-21""},{""time"":48218,""label"":""tour_next"",""step"":5},{""time"":56454,""label"":""cleared_brush"",""using"":""Click""},{""time"":58191,""label"":""tour_next"",""step"":5},{""time"":62094,""label"":""tour_end"",""step"":5},{""time"":67502,""label"":""started_brush"",""startDate"":""2021-07-09"",""endDate"":""2021-08-05""},{""time"":71386,""label"":""started_brush"",""startDate"":""2021-06-26"",""endDate"":""2021-12-04""},{""time"":73556,""label"":""moved_brush"",""startDate"":""2021-08-29"",""endDate"":""2022-02-06""},{""time"":75236,""label"":""moved_brush"",""startDate"":""2021-08-30"",""endDate"":""2022-02-07""},{""time"":78746,""label"":""hovered"",""isBrokenDownByAge"":true,""timeHovered"":4901,""week"":""52"",""id"":""chart""}]}","{""startTime"":1690223692920,""visType"":""bar chart"",""complexity"":""complex"",""provenance"":[{""time"":7623,""label"":""started_brush"",""startDate"":""2021-09-30"",""endDate"":""2022-02-07""},{""time"":9204,""label"":""moved_brush"",""startDate"":""2021-09-30"",""endDate"":""2022-02-07""},{""time"":9930,""label"":""moved_brush"",""startDate"":""2021-09-30"",""endDate"":""2022-02-07""},{""time"":13004,""label"":""moved_brush"",""startDate"":""2021-11-02"",""endDate"":""2022-02-07""}]}",1,complex,bar,3.0,1,4,0,0.0,0.0,5381,15.0,0.5,1.0,1,1.0,3
2023-07-24 14:37:34,2023-07-24 14:44:40,0,100,426,1,2023-07-24 14:44:41,R_3DtZwWLlUvWSYQM,35.2338,-97.4095,EN,1,3.79,1,3.0,1,5.58,15.022,79,100,98,9.954,10.605,-2,1,57.287,-1,1,40.661,-3,40.001999999999995,15.124,7,3,7,7,7,7,,22.372,5,7,5,2,3,6,I believe that unvaccinated individuals are more likely to catch the virus.,48.782,2,,8.206,2,7,3,4,1,5,6,9.869,1,4,1,6,4,6,8,10,,18.686,4,4,4,2,4,4,25.004,2,2,10.380999999999998,1,2002,Oklahoma,3,3,1,,7,,,17,3,1,38.556,63fba157c9ebcb0ba6397872,"{""startTime"":1690223971089,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223994088,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[]}","{""startTime"":1690223902281,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[{""time"":15,""label"":""tour_started""},{""time"":6013,""label"":""tour_next"",""step"":2},{""time"":8318,""label"":""tour_end"",""step"":2}]}","{""startTime"":1690223954890,""visType"":""line chart"",""complexity"":""moderate"",""provenance"":[]}",1,moderate,line,3.7,0,0,0,0.0,0.0,0,15.0,0.5,0.5,0,0.5,2
2023-07-24 14:32:15,2023-07-24 14:45:54,0,100,818,1,2023-07-24 14:45:55,R_2zYngyfH0zEs6Gq,38.9887,-94.6341,EN,1,10.685,2,,1,3.0460000000000003,15.109000000000002,85,68,50,47.951,140.059,1,1,71.735,1,1,75.635,1,59.059,15.013,5,3,5,6,6,5,,33.529,5,6,6,1,1,5,So much of the covid 19 reporting has become so politicized I don't know what to believe anymore. But I am inclined to believe scientific research. ,106.89399999999999,5,,11.714,2,7,3,4,1,5,6,17.979,5,4,8,8,5,5,9,5,,39.272,3,3,4,3,3,3,32.21,5,1,22.965,2,1991,Kansas,2,2,1,,7,,,8,1,1,73.72,61003045d0f2c8b7ddb40dbd,"{""startTime"":1690223838893,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690223872840,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[]}","{""startTime"":1690223623335,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":6,""label"":""tour_started""},{""time"":15272,""label"":""hovered"",""timeHovered"":6232,""week"":""2022-01-03""},{""time"":23171,""label"":""hovered"",""timeHovered"":4716,""week"":""2022-01-17""},{""time"":28693,""label"":""hovered"",""timeHovered"":3176,""week"":""2022-01-17""},{""time"":32219,""label"":""hovered"",""timeHovered"":1502,""week"":""2022-01-24""},{""time"":33954,""label"":""hovered"",""timeHovered"":1067,""week"":""2022-01-24""},{""time"":36426,""label"":""tour_next"",""step"":5},{""time"":53699,""label"":""started_brush"",""startDate"":""2021-05-12"",""endDate"":""2021-07-20""},{""time"":55733,""label"":""cleared_brush"",""using"":""click""},{""time"":57798,""label"":""started_brush"",""startDate"":""2021-11-13"",""endDate"":""2022-02-13""},{""time"":59368,""label"":""tour_next"",""step"":5},{""time"":71813,""label"":""moved_brush"",""startDate"":""2021-12-15"",""endDate"":""2022-02-13""},{""time"":72894,""label"":""tour_next"",""step"":5},{""time"":78112,""label"":""cleared_brush"",""using"":""click""},{""time"":79760,""label"":""tour_next"",""step"":5},{""time"":86611,""label"":""tour_end"",""step"":5},{""time"":96482,""label"":""started_brush"",""startDate"":""2021-10-29"",""endDate"":""2022-02-13""},{""time"":98399,""label"":""cleared_brush"",""using"":""click""},{""time"":110217,""label"":""started_brush"",""startDate"":""2021-10-30"",""endDate"":""2022-01-09""},{""time"":116189,""label"":""hovered"",""timeHovered"":2849,""week"":""2022-01-03""},{""time"":125318,""label"":""cleared_brush"",""using"":""click""},{""time"":137950,""label"":""started_brush"",""startDate"":""2021-04-11"",""endDate"":""2021-07-24""}]}","{""startTime"":1690223823500,""visType"":""line chart"",""complexity"":""complex"",""provenance"":[{""time"":9158,""label"":""hovered"",""timeHovered"":1215,""week"":""2021-12-13""}]}",1,complex,line,3.2,0,1,1,1.215,1.215,0,15.0,1.0,1.0,1,1.0,3
